,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
126,7200,3866.5832,4768.3749,4113.1577,6.4,31,42,A062,6.4,0,6.4,0,6.4,0,6.4,0,6.4,0,6.4,0,0.0,0.0,0,0,0
127,7201,3867.859,4767.0334,4110.797,10.653334,31,42,A062,10.653334,0,10.653334,0,10.653334,0,10.653334,0,10.653334,0,10.653334,0,0.0,0.0,0,0,0
128,7202,3869.1376,4765.6888,4108.4396,9.68,31,42,A062,9.68,0,9.68,0,9.68,0,9.68,0,9.68,0,9.68,0,0.0,0.0,0,0,0
129,7203,3870.419,4764.3413,4106.0855,38.299999,31,42,A062,38.299999,0,38.299999,0,38.299999,0,38.299999,0,38.299999,0,38.299999,0,0.0,0.0,0,0,0
130,7204,3871.7033,4762.9907,4103.7346,24.863333,31,42,A062,24.863333,0,24.863333,0,24.863333,0,24.863333,0,24.863333,0,24.863333,0,0.0,0.0,0,0,0
131,7205,3872.9905,4761.6372,4101.387,32.373333,31,42,A062,32.373333,0,32.373333,0,32.373333,0,32.373333,0,32.373333,0,32.373333,0,0.0,0.0,0,0,0
132,7206,3874.2805,4760.2807,4099.0427,11.95,31,42,A062,11.95,0,11.95,0,11.95,0,11.95,0,11.95,0,11.95,0,0.0,0.0,0,0,0
133,7207,3875.5734,4758.9211,4096.7018,5.475,31,42,A062,5.475,0,5.475,0,5.475,0,5.475,0,5.475,0,5.475,0,0.0,0.0,0,0,0
134,7208,3876.8691,4757.5586,4094.3641,7.45,31,42,A062,7.45,0,7.45,0,7.45,0,7.45,0,7.45,0,7.45,0,0.0,0.0,0,0,0
135,7209,3878.1676,4756.1931,4092.0297,13.533333,31,42,A062,13.533333,0,13.533333,0,13.533333,0,13.533333,0,13.533333,0,13.533333,0,0.0,0.0,0,0,0
